"work","status_year","source","license_note","code_availability","inspected_files_functions","mechanism_summary","failure_relevance","novelty_pressure","relevance_score","action"
"MoE-GS","2025/2026 code audit seed","https://github.com/cvsp-lab/MoE-GS","Gaussian-Splatting noncommercial research license in clone","Full trainer/model code cloned","train_E3.py:48-135 expert imports/setup; train_E3.py:176-217 render and pixel-wise MoE fusion; scene/c_gaussian_model.py:47-221 time-padded motion tensors and interpolation; helper_model.py:60-120 time/specular MLPs; configs/N3V/*.json","Mixture of dynamic Gaussian experts with pixel-wise fusion and time-interpolated motion tensors; includes N3V configs.","May address saturation via ensemble capacity, but does not target boundary leakage causally.","Expert routing/fusion is crowded and would collide with current LoRA route0 routing failure unless isolated very carefully.","6.0","Do not select; possible external baseline only."
"AdaGaR","2025/2026 code audit seed","https://github.com/JiewenChan/Adaptive_Gabor_Video_Representation","No top-level license found in clone","Full trainer/model code cloned","model/dynamic_pchip_gabor_all.py:99-251 PCHIP/Gabor temporal point cloud; model/dynamic_pchip_gabor_all.py:407-447 re_init dynamic attributes; trainer.py:333-370 adaptive 3D flow initialization; trainer.py:496-782 RGB, curvature, optical-flow, depth, mask/DINO losses; pointrix/optimizer/point_insertion.py listed","Adaptive temporal representation with PCHIP nodes, Gabor frequency coefficients, track/depth/flow initialization, and optional semantic attributes.","Relevant to fast blur-prone high-frequency regions, less direct for static/dynamic leakage.","High-frequency temporal capacity is plausible but crowded; should be fallback after visibility ownership evidence, not first move.","6.5","Rank as high-frequency fallback for blur if ownership route passes/fails in a diagnosable way."
"PaMoSplat","2025/2026 code audit seed","https://github.com/BIT-DYN/pamosplat","No top-level license found in clone","Compact full trainer code cloned","train.py:55-69 masks/flows; train.py:130-186 image/seg/scale/iso/part/bg losses; train.py:189-423 part motion prior and flow fitting; train.py:445-692 part initialization and mask/feature clustering; train.py:733-765 train loop","Part-aware motion: SAM/feature/mask clustering, part-level rigidity, flow-assisted motion prior, and normal densification.","Relevant to blur in articulated/local motion regions, but depends on masks/features and is not an occlusion ledger.","Part-level motion is prior art; ADAGS should not claim generic part/mask motion as novel.","6.0","Fallback idea only; not selected."
"Disentangled4DGS / V4D","2025 arXiv seed/code","https://arxiv.org/abs/2503.22159 ; https://github.com/GANWANSHUI/V4D","No top-level license found in clone","Full code cloned, but volumetric grid/ray-marching rather than ADAGS-style Gaussian optimizer","lib/V4D.py:72-205 density/RGB grids and MLPs; lib/V4D.py:407-450 occupancy alpha; lib/V4D.py:543-631 ray marching; run.py:52-109 static_type/view/depth config flags","Volumetric 4D grid with density/RGB feature factorization and temporal rays.","Relevant as disentanglement prior art, but not a drop-in Gaussian representation for ADAGS.","Crowds generic static/dynamic disentanglement; ADAGS needs event ownership to be distinctive.","5.0","Do not port; cite as prior-art pressure."
"DepthRegularizedGS","2024 depth-control baseline/code","https://github.com/robot0321/DepthRegularizedGS","Gaussian-Splatting noncommercial research license","Full code cloned","train.py:40-119 depth-supervised and canny depth regularization losses; train.py:156-167 depth-aware densify/reset conditions; scene/dataset_readers.py:132-155 ZoeDepth alignment; scene/dataset_readers.py:417-458 unproject full depth","Monocular/SfM-aligned depth supervision and depth edge regularization for 3DGS.","Can reduce geometry ambiguity, but global depth loss does not specifically fix dynamic boundary leakage or reveal ownership.","Global depth regularization is not enough novelty; use only selectively where representation ambiguity demands it.","3.5","Use as negative/control pressure against global depth-loss-first route."
"DepthSplat","2024/2025 feed-forward code","https://github.com/cvg/depthsplat","MIT","Full code cloned","src/model/encoder/encoder_depthsplat.py:76-138 depth predictor and Gaussian head; src/model/encoder/encoder_depthsplat.py:161-377 depth-to-Gaussian forward path; src/model/encoder/common/gaussian_adapter.py:54-95 depth/ray Gaussian adapter; src/model/decoder/*.py listed","Learned multiview/monodepth encoder predicts per-pixel Gaussians from depth and image features.","Useful for geometry seeding, but it is a feed-forward reconstruction system rather than ADAGS optimizer-side mechanism.","Full replacement would be a different paper; not a targeted ADAGS representation patch.","3.5","Do not select; possible sidecar/evidence inspiration only."
"Ground4D","2026 project/code","https://github.com/wsnbws/Ground4D","MIT","Full code cloned; task focus is grounding/feed-forward 4D","ground4d/models/vggt.py:11-60 Gaussian/track/dynamic-conf heads; ground4d/models/vggt.py:126-144 dynamic confidence and track outputs; ground4d/models/sky.py:170-323 SkyGaussian background rendering; ground4d/models/projector.py:36-169 projection masks and depth consistency","Feed-forward 4D grounding/reconstruction stack with Gaussian heads, track head, dynamic confidence, projection masks, and sky/background Gaussian.","Relevant for learned dynamic confidence and projection masks, but not ADAGS fixed-budget optimizer transaction.","Learned grounding/dynamic-confidence is adjacent; ADAGS should keep annotations/evaluator separate from training.","4.5","Use as adjacent evidence only."
"HAIF-GS","2025 project page/repo","https://github.com/EchoPickle/HAIF-GS","MIT","Repository clone contains README/assets/license only","README.md and assets/framework.png only","Advertised high-level idea but no auditable implementation in clone.","Cannot score implementation mechanics beyond paper/project claims.","No code to reuse; do not rely on it for implementation feasibility.","2.0","Code unavailable/minimal; exclude from implementation selection."
"Multi4D","2025 project page/repo","https://github.com/BatFaceWayne/Multi4D","GPL-3.0","Repository clone contains README/assets/license only","README.md and assets/pipeline.png/teaser.jpg only","Advertised multi-view 4D direction, but no auditable implementation in clone.","Potentially relevant at paper level, not for code synthesis.","GPL and no code make it unsuitable for direct ADAGS reuse.","2.0","Paper-level context only."
"MEGA","2025/2026 project page/repo","https://github.com/Xinjie-Q/MEGA","No top-level license found in clone","Repository clone contains README/images only","README.md and img/*.png only","Advertised mechanism cannot be audited from code in clone.","No implementation evidence for ADAGS decision.","Do not use for implementation justification.","1.5","Exclude from implementation selection."
"OccluGaussian","2025/2026 project page/repo","https://github.com/OccluGaussian/OccluGaussian","No top-level license found in clone","Repository clone contains README only","README.md only","Occlusion-focused title is relevant, but no auditable code in clone.","Could be thematically relevant to hidden/revealed regions, but no implementation evidence.","Cannot justify ADAGS overhaul from unavailable code.","2.0","Paper-level watch item only."
"PackUV","2025/2026 project page/repo","https://github.com/brown-ivl/packuv","No explicit source license found in clone","Website/PDF/assets only","README.md; asset/packuv.pdf; index.html","Static/UV packaging direction; no auditable optimizer code in clone.","Low direct relevance to dynamic N3V failure modes.","No implementation basis for ADAGS.","2.0","Paper-level context only."
"Prior-Enhanced Gaussian Splatting","2026 project page","https://priorenhancedgaussian.github.io/","Code listed as coming soon on project page during audit","No code cloned","Project page only","Prior-enhanced Gaussian reconstruction appears relevant to prior-guided geometry, but code was unavailable during audit.","Could inform future prior/evidence design, but cannot support implementation now.","Unavailable code prevents mechanism selection.","2.0","Recheck only if code becomes available."
